City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
haibara-akanedai,34.5333,135.95,31.81,52,3,3.08,JP,1691718838
saint-philippe,-21.3585,55.7679,19.77,78,1,2.15,RE,1691718685
waitangi,-43.9535,-176.5597,12.12,89,100,3.13,NZ,1691718644
whitehorse,60.7161,-135.0538,20.05,76,75,1.03,CA,1691718631
ilulissat,69.2167,-51.1,7.01,81,75,1.54,GL,1691718651
ixtapa,20.7,-105.2,26.75,91,97,0.97,MX,1691718839
adamstown,-25.066,-130.1015,18.45,57,15,10.57,PN,1691718643
mwene-ditu,-7.0,23.45,20.82,39,20,1.76,CD,1691718840
edinburgh of the seven seas,-37.0676,-12.3116,12.0,74,96,12.84,SH,1691718644
tromso,69.6496,18.957,12.43,93,20,1.03,NO,1691718840
imbituba,-28.24,-48.6703,21.03,97,66,5.1,BR,1691718608
grytviken,-54.2811,-36.5092,0.14,98,100,5.28,GS,1691718643
afaahiti,-17.75,-149.2833,25.93,69,100,8.24,PF,1691718841
baiyin,36.5583,104.2081,17.14,84,100,4.95,CN,1691718841
puerto natales,-51.7236,-72.4875,-0.71,94,22,1.63,CL,1691718647
praia da vitoria,38.7333,-27.0667,23.14,88,40,3.69,PT,1691718659
papatowai,-46.5619,169.4708,7.84,74,99,1.62,NZ,1691718666
invercargill,-46.4,168.35,8.34,74,91,1.34,NZ,1691718643
isafjordur,66.0755,-23.124,6.54,91,65,4.6,IS,1691718842
avarua,-21.2078,-159.775,23.03,94,75,5.14,CK,1691718646
tiksi,71.6872,128.8694,20.0,37,8,5.34,RU,1691718647
broome,42.2506,-75.833,19.28,96,20,2.57,US,1691718588
port elizabeth,-33.918,25.5701,20.61,67,0,2.06,ZA,1691718650
lerwick,60.1545,-1.1494,14.0,91,0,6.09,GB,1691718647
loch garman,52.3342,-6.4575,16.05,100,2,6.71,IE,1691718820
hermanus,-34.4187,19.2345,15.18,57,0,1.26,ZA,1691718651
port mathurin,-19.6833,63.4167,23.11,78,27,9.45,MU,1691718653
bajil,15.0584,43.2851,29.72,69,27,0.35,YE,1691718844
kristiansund,63.1115,7.732,11.03,93,100,0.0,NO,1691718844
bethel,41.3712,-73.414,21.4,86,93,1.3,US,1691718647
rewa,24.5333,81.3,26.98,72,92,4.45,IN,1691718845
blackmans bay,-43.0167,147.3167,12.07,71,100,2.82,AU,1691718647
maceio,-9.6658,-35.7353,22.69,94,40,1.54,BR,1691718606
flying fish cove,-10.4217,105.6791,25.82,78,40,5.66,CX,1691718670
tsengel,49.4783,100.8894,17.18,74,4,2.12,MN,1691718846
holualoa,19.6228,-155.9522,25.91,78,75,4.63,US,1691718676
enewetak,11.3474,162.3373,28.58,76,27,5.71,MH,1691718652
college,64.8569,-147.8028,20.97,72,75,1.54,US,1691718655
cabo san lucas,22.8909,-109.9124,32.01,73,33,1.34,MX,1691718725
pisco,-13.7,-76.2167,20.03,77,100,7.2,PE,1691718848
saynshand,44.8824,110.1163,24.82,49,33,3.41,MN,1691718849
iskateley,67.6803,53.1512,13.12,72,6,1.05,RU,1691718649
bilibino,68.0546,166.4372,13.78,66,99,1.64,RU,1691718649
albany,42.6001,-73.9662,19.82,91,42,1.44,US,1691718633
thinadhoo,0.5333,72.9333,27.7,76,96,4.9,MV,1691718688
undurkhaan,47.3194,110.6556,21.26,65,47,4.6,MN,1691718850
mishkovo-pohorilove,46.9995,32.118,19.64,77,100,4.93,UA,1691718850
kayangel,8.0823,134.7173,27.89,82,100,8.98,PW,1691718673
ancud,-41.8697,-73.8203,6.18,75,34,4.88,CL,1691718401
nova sintra,14.8667,-24.7167,22.51,75,28,4.52,CV,1691718850
nar'yan-mar,67.6713,53.087,13.15,72,6,1.09,RU,1691718664
pacocha,-17.5833,-71.3333,16.86,89,76,2.74,PE,1691718851
ukata,10.8312,5.8249,21.73,95,100,0.27,NG,1691718851
bredasdorp,-34.5322,20.0403,12.23,73,0,1.07,ZA,1691718649
port-aux-francais,-49.35,70.2167,3.33,77,49,16.3,TF,1691718643
armidale,-30.5167,151.65,16.14,29,0,5.36,AU,1691718852
kingston,17.997,-76.7936,26.25,95,58,0.45,JM,1691718787
forster,-32.1667,152.5167,17.94,44,0,3.53,AU,1691718688
thompson,55.7435,-97.8558,17.09,55,100,1.03,CA,1691718647
lihue,21.9789,-159.3672,30.77,62,20,6.17,US,1691718657
tura,25.5198,90.2201,24.64,97,100,2.51,IN,1691718739
beregovoy,55.173,73.2198,14.03,75,100,5.16,RU,1691718853
margaret river,-33.95,115.0667,14.43,67,22,2.35,AU,1691718644
ushuaia,-54.8,-68.3,1.81,87,75,1.54,AR,1691718644
st. john's,47.5649,-52.7093,17.66,93,75,3.09,CA,1691718607
kourou,5.1552,-52.6478,25.03,90,63,2.66,GF,1691718855
quellon,-43.1167,-73.6167,6.14,81,40,3.09,CL,1691718855
talnakh,69.4865,88.3972,8.45,65,100,8.07,RU,1691718658
la peca,-5.6111,-78.435,21.67,74,34,1.67,PE,1691718856
kodiak,57.79,-152.4072,13.73,88,100,2.06,US,1691718653
