City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
albany,42.6001,-73.9662,20.03,91,42,1.44,US,1691717666
bardai,11.65,7.2333,20.98,95,100,3.32,NG,1691718000
boende,-0.2167,20.8667,22.21,95,93,0.57,CD,1691718053
geraldton,-28.7667,114.6,15.23,88,100,1.54,AU,1691717994
laguna,38.421,-121.4238,33.38,38,0,5.14,US,1691718054
tralee,52.2704,-9.7026,13.42,96,15,2.48,IE,1691718054
port-aux-francais,-49.35,70.2167,3.33,77,49,16.3,TF,1691717963
saint-philippe,-21.3585,55.7679,19.77,78,1,2.15,RE,1691718054
ushuaia,-54.8,-68.3,1.81,87,75,1.54,AR,1691717984
lazaro cardenas,17.9583,-102.2,28.45,77,20,3.36,MX,1691717965
tamanrasset,22.785,5.5228,24.95,11,0,2.57,DZ,1691718055
st. john's,47.5649,-52.7093,17.86,94,75,3.09,CA,1691717750
port mathurin,-19.6833,63.4167,23.11,78,27,9.45,MU,1691717960
west island,-12.1568,96.8225,25.99,83,100,6.69,CC,1691717988
ilulissat,69.2167,-51.1,7.01,81,75,1.54,GL,1691717972
uturoa,-16.7333,-151.4333,24.98,70,99,8.78,PF,1691718038
al marj,32.488,20.8317,21.37,74,0,3.88,LY,1691718056
aksu,41.1231,80.2644,27.56,35,99,2.32,CN,1691717818
touros,-5.1989,-35.4608,24.25,82,12,6.19,BR,1691717979
edinburgh of the seven seas,-37.0676,-12.3116,12.0,74,96,12.84,SH,1691717962
uchiza,-8.4592,-76.4633,24.47,75,99,1.37,PE,1691718057
virginia beach,36.8529,-75.978,26.04,88,75,3.09,US,1691718057
bethel,41.3712,-73.414,21.47,86,93,1.3,US,1691717942
adamstown,-25.066,-130.1015,18.45,57,15,10.57,PN,1691717967
namtsy,62.7161,129.6658,23.08,50,99,5.28,RU,1691718058
east london,-33.0153,27.9116,18.22,53,0,4.36,ZA,1691717978
nadi,-17.8,177.4167,22.0,83,100,3.09,FJ,1691718058
lebu,-37.6167,-73.65,8.85,75,100,3.85,CL,1691718020
korla,41.7597,86.1469,31.24,20,3,6.81,CN,1691718037
selfoss,63.9331,-20.9971,13.36,86,60,4.18,IS,1691718059
thurgoona,-36.0451,146.9919,12.03,100,95,0.89,AU,1691718059
waitangi,-43.9535,-176.5597,12.12,88,100,3.13,NZ,1691717960
wainwright,52.839,-110.8572,17.33,61,60,8.95,CA,1691718059
grytviken,-54.2811,-36.5092,0.14,98,100,5.28,GS,1691717957
